Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
READ_PHONE_STATE,NR,360,com.ximalaya.ting.android,getSubscriberId,OooO00o.OooO00o.OooO00o.-$$Lambda$c$9wkEUMHtsxqX7iHM8oL7uI9a5VY.run,,
ACCESS_COARSE_LOCATION,NR,360,com.xingin.xhs,getAllCellInfo,com.xingin.tiny.internal.c6$c.run,,
READ_PHONE_STATE,NR,360,com.xingin.xhs,,
ACCESS_COARSE_LOCATION,NR,360,com.yibasan.lizhifm,getAllCellInfo,io.reactivex.internal.schedulers.ScheduledRunnable.call,ReactiveX,Programming
READ_PHONE_STATE,NR,360,com.yibasan.lizhifm,getRunningAppProcesses,com.yibasan.lizhifm.app.boot.core.BootTask$addEvent$1.invokeSuspend,app,app
READ_PHONE_STATE,NR,360,com.yy.huanju,getRunningAppProcesses,r.w.c.v.r.dispatchMessage,,
READ_PHONE_STATE,NR,360,com.yy.huanju,getActiveSubscriptionInfo,com.yy.huanju.MyApplication.onCreate,app,app
READ_PHONE_STATE,NR,360,com.zhenai.android,,
READ_PHONE_STATE,NR,360,comm.cchong.BloodAssistant,getRunningAppProcesses,comm.cchong.G7Annotation.Utils.BroadcastUtils$CYBroadcastReceiver.onReceive,,
BLUETOOTH,IND,360,fm.qingting.qtradio,,
READ_PHONE_STATE,NR,360,fm.qingting.qtradio,,
READ_PHONE_STATE,NR,360,gz.lifesense.weidong,getRunningAppProcesses,gz.lifesense.weidong.application.LifesenseApplication.onCreate,app,app
READ_PHONE_STATE,NR,360,gz.lifesense.weidong,getSubscriberId,com.tencent.smtt.sdk.aj.handleMessage,Tencent TBS SDK,WebView
READ_PHONE_STATE,NR,360,Yalin1314521.wvh,getSubscriberId,com.bytedance.sdk.openadsdk.core.e$12.run,Pangle SDK,Ad
READ_PHONE_STATE,NR,360,Yalin1314521.wvh,getRunningAppProcesses,com.bytedance.t.t.wt$1.run,,
READ_PHONE_STATE,RNDNR,google_play,com.agoda.mobile.consumer,getRunningAppProcesses,com.agoda.mobile.consumer.MainApplication.onCreate,app,app
DOWNLOAD_WITHOUT_NOTIFICATION,IND,google_play,com.binaryguilt.completemusicreadingtrainer,PermLabel,i2.n.run,,
DOWNLOAD_WITHOUT_NOTIFICATION,IND,google_play,com.binaryguilt.completemusicreadingtrainer,enqueue,i2.n.run,,
CAMERA,RNDNR,google_play,com.bluesignum.little_lighthouse,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
ACCESS_WIFI_STATE,IND,google_play,com.downdogapp,,
MODIFY_AUDIO_SETTINGS,IND,google_play,com.economist.lamarr,,
READ_PHONE_STATE,NR,google_play,com.feilong.zaitian,getRunningAppProcesses,com.feilong.zaitian.App.onCreate,app,app
READ_PHONE_STATE,NR,google_play,com.game.dungeonsmowing.gp,getRunningAppProcesses,com.tendcloud.tenddata.zz$23.run,,
CAMERA,NR,google_play,com.invaluable.invaluable,getCameraInfo,com.invaluable.invaluable.livevideo.MillicastManager$$ExternalSyntheticLambda3.run,app,app
ACCESS_COARSE_LOCATION,NR,google_play,com.klook,getAllCellInfo,c.t.m.g.er$a.handleMessage,,
ACCESS_COARSE_LOCATION,NR,google_play,com.klook,getCellLocation,c.t.m.g.er$a.handleMessage,,
ACCESS_COARSE_LOCATION,NR,google_play,com.klook,startScan,c.t.m.g.ek$a.handleMessage,,
ACCESS_LOCATION_EXTRA_COMMANDS,IND,google_play,com.klook,sendExtraCommand,com.klook.location.internal.LocationManager$f$a.invokeSuspend,app,app
BLUETOOTH_ADMIN,IND,google_play,com.klook,startScan,c.t.m.g.ek$a.handleMessage,,
BLUETOOTH_ADMIN,IND,google_play,com.klook,stopScan,c.t.m.g.ek$a.handleMessage,,
CHANGE_WIFI_STATE,IND,google_play,com.klook,startScan,c.t.m.g.eu$1.run,,
READ_PHONE_STATE,RNDNR,google_play,com.klook,getRunningAppProcesses,com.klook.shell.KlookShellApplication.onCreate,app,app
READ_PHONE_STATE,RNDNR,google_play,com.klook,getSubscriberId,com.tencent.map.geolocation.a.a.e$a.handleMessage,TencentMapSDK,Utility
