09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klooklib.activity.SplashActivity.initView(SplashActivity.java:14)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klook.base.business.ui.BaseActivity.onCreate(BaseActivity.java:15)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.klooklib.activity.SplashActivity.onCreate(SplashActivity.java:1)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.Activity.performCreate(Activity.java:7136)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.Activity.performCreate(Activity.java:7127)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1272)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2894)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3049)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:78)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:108)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:68)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1809)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.os.Handler.dispatchMessage(Handler.java:106)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.os.Looper.loop(Looper.java:193)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at android.app.ActivityThread.main(ActivityThread.java:6692)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at java.lang.reflect.Method.invoke(Native Method)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)

09-02 17:47:23.925  5877  5877 I LSPosed-Bridge: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:858)

09-02 17:47:25.981  1568  6607 I LSPosed-Bridge: 5877 PermLabel 10127 AMS.checkPermission: Binder.getCallingPid() = 5877; uid = 10127; Binder.getCallingUid() = 10127; getNameForUid: com.klook; getPackagesForUid: [com.klook]; permName: android.permission.CHANGE_WIFI_STATE; type = 0; res = -1; stacktrace=java.lang.Exception

09-02 17:47:25.981  1568  6607 I LSPosed-Bridge: 	at com.example.permlabel.requirePerm$1$2.afterHookedMethod(requirePerm.java:124)

09-02 17:47:25.981  1568  6607 I LSPosed-Bridge: 	at de.robv.android.xposed.XposedBridge$AdditionalHookInfo.callback(Unknown Source:147)

09-02 17:47:25.981  1568  6607 I LSPosed-Bridge: 	at LSPHooker_.checkPermission(Unknown Source:25)

09-02 17:47:25.981  1568  6607 I LSPosed-Bridge: 	at android.app.ContextImpl.checkPermission(ContextImpl.java:1751)

09-02 17:47:25.981  1568  6607 I LSPosed-Bridge: 	at android.app.ContextImpl.checkCallingOrSelfPermission(ContextImpl.java:1791)

